scenario,repetition,seed,fault_onset_step,detected,correct_response,response_latency_steps,completed,terminal_state,recovery_success,appropriate_terminal_response,false_alarm,unsafe_continuation,first_fault_action,replans,reacquisitions,recoveries,stops,failures
recoverable_joint_limit_approach,14,772415,7,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,15,772516,7,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,16,772617,14,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,17,772718,9,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,18,772819,7,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,19,772920,14,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,20,773021,17,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,21,773122,7,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,22,773223,11,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,23,773324,9,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,24,773425,9,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,25,773526,18,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,26,773627,6,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,27,773728,10,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,28,773829,16,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,29,773930,9,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
joint_limit_violation,0,871001,14,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,1,871102,13,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,2,871203,7,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,3,871304,12,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,4,871405,9,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,5,871506,9,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,6,871607,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,7,871708,18,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,8,871809,16,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,9,871910,17,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,10,872011,8,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,11,872112,15,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,12,872213,7,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,13,872314,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,14,872415,14,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,15,872516,11,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,16,872617,6,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
