stress_condition,repetition,planner_policy,trajectory_released,unsafe_release,safe_release,conservative_safe_block,error_x_mm,error_y_mm,error_z_mm,minimum_surface_clearance_mm,minimum_safety_clearance_mm,truth_collision,truth_safety_violation
calibrated_gaussian,15,nominal_chance,True,False,True,False,4.933543076048664,1.1195962398687254,2.8016559648476065,10.020334397205893,2.0203343972058936,False,False
calibrated_gaussian,15,robust_chance,False,False,False,True,4.933543076048664,1.1195962398687254,2.8016559648476065,10.020334397205893,2.0203343972058936,False,False
calibrated_gaussian,16,nominal_chance,True,False,True,False,21.96988916904289,7.269281790101848,5.343854121128412,13.783074240649658,5.783074240649658,False,False
calibrated_gaussian,16,robust_chance,False,False,False,True,21.96988916904289,7.269281790101848,5.343854121128412,13.783074240649658,5.783074240649658,False,False
calibrated_gaussian,17,nominal_chance,True,False,True,False,-2.740004764862968,-1.4396582358956427,-2.275467772414508,12.276830886789254,4.276830886789254,False,False
calibrated_gaussian,17,robust_chance,False,False,False,True,-2.740004764862968,-1.4396582358956427,-2.275467772414508,12.276830886789254,4.276830886789254,False,False
calibrated_gaussian,18,nominal_chance,True,False,True,False,-18.18740052138546,-3.313080139570771,-4.593122495182271,15.024422880994791,7.024422880994791,False,False
calibrated_gaussian,18,robust_chance,False,False,False,True,-18.18740052138546,-3.313080139570771,-4.593122495182271,15.024422880994791,7.024422880994791,False,False
calibrated_gaussian,19,nominal_chance,True,False,True,False,-1.661629232927795,-0.8304167635055272,-0.9874583441407062,11.741186225349203,3.741186225349203,False,False
calibrated_gaussian,19,robust_chance,False,False,False,True,-1.661629232927795,-0.8304167635055272,-0.9874583441407062,11.741186225349203,3.741186225349203,False,False
calibrated_gaussian,20,nominal_chance,True,False,True,False,7.465524121272191,2.1804588506877565,1.7371999645579708,11.37739575212132,3.3773957521213203,False,False
calibrated_gaussian,20,robust_chance,False,False,False,True,7.465524121272191,2.1804588506877565,1.7371999645579708,11.37739575212132,3.3773957521213203,False,False
calibrated_gaussian,21,nominal_chance,True,False,True,False,5.211469175659983,3.4714649463946916,-0.33501198273741417,13.760309355841082,5.760309355841082,False,False
calibrated_gaussian,21,robust_chance,False,False,False,True,5.211469175659983,3.4714649463946916,-0.33501198273741417,13.760309355841082,5.760309355841082,False,False
calibrated_gaussian,22,nominal_chance,True,False,True,False,14.388404407329848,4.894420339721845,0.95281070268335,14.030162598911605,6.0301625989116046,False,False
calibrated_gaussian,22,robust_chance,False,False,False,True,14.388404407329848,4.894420339721845,0.95281070268335,14.030162598911605,6.0301625989116046,False,False
calibrated_gaussian,23,nominal_chance,True,False,True,False,-8.506300719413204,-1.211126606915528,-2.5784501968639204,13.518492118734375,5.5184921187343745,False,False
calibrated_gaussian,23,robust_chance,False,False,False,True,-8.506300719413204,-1.211126606915528,-2.5784501968639204,13.518492118734375,5.5184921187343745,False,False
calibrated_gaussian,24,nominal_chance,True,False,True,False,-0.8631420293271146,-1.438566403547434,1.7841025943277857,9.47578263933127,1.4757826393312685,False,False
calibrated_gaussian,24,robust_chance,False,False,False,True,-0.8631420293271146,-1.438566403547434,1.7841025943277857,9.47578263933127,1.4757826393312685,False,False
calibrated_gaussian,25,nominal_chance,True,False,True,False,-9.142378589239378,-4.541943999576249,0.029493372669612855,9.50630465193642,1.5063046519364198,False,False
calibrated_gaussian,25,robust_chance,False,False,False,True,-9.142378589239378,-4.541943999576249,0.029493372669612855,9.50630465193642,1.5063046519364198,False,False
calibrated_gaussian,26,nominal_chance,True,False,True,False,-15.022181006360869,-6.203997058521107,-5.959177654269857,12.912953943595898,4.912953943595899,False,False
calibrated_gaussian,26,robust_chance,False,False,False,True,-15.022181006360869,-6.203997058521107,-5.959177654269857,12.912953943595898,4.912953943595899,False,False
calibrated_gaussian,27,nominal_chance,True,False,True,False,2.9702885740706164,-0.07624325981905526,0.3125494472730509,10.894701361440257,2.8947013614402572,False,False
calibrated_gaussian,27,robust_chance,False,False,False,True,2.9702885740706164,-0.07624325981905526,0.3125494472730509,10.894701361440257,2.8947013614402572,False,False
calibrated_gaussian,28,nominal_chance,True,False,True,False,2.5978375784931695,-0.2728210260362996,3.218449445012137,8.979034105006203,0.9790341050062036,False,False
calibrated_gaussian,28,robust_chance,False,False,False,True,2.5978375784931695,-0.2728210260362996,3.218449445012137,8.979034105006203,0.9790341050062036,False,False
calibrated_gaussian,29,nominal_chance,True,False,True,False,-14.302882768797883,-3.8082006285283465,-0.48659045110695126,11.508265604888425,3.5082656048884258,False,False
calibrated_gaussian,29,robust_chance,False,False,False,True,-14.302882768797883,-3.8082006285283465,-0.48659045110695126,11.508265604888425,3.5082656048884258,False,False
calibrated_gaussian,30,nominal_chance,True,False,True,False,10.88982131510297,4.285882002735017,1.665475837375751,13.12233708636768,5.12233708636768,False,False
calibrated_gaussian,30,robust_chance,False,False,False,True,10.88982131510297,4.285882002735017,1.665475837375751,13.12233708636768,5.12233708636768,False,False
calibrated_gaussian,31,nominal_chance,True,False,True,False,-5.2301414225381135,-1.6763746171009262,-0.9695789722052506,11.62281616514029,3.6228161651402897,False,False
calibrated_gaussian,31,robust_chance,False,False,False,True,-5.2301414225381135,-1.6763746171009262,-0.9695789722052506,11.62281616514029,3.6228161651402897,False,False
calibrated_gaussian,32,nominal_chance,True,False,True,False,-14.937241218111375,-4.796815202522021,-5.369707446033951,13.63601712781072,5.636017127810718,False,False
calibrated_gaussian,32,robust_chance,False,False,False,True,-14.937241218111375,-4.796815202522021,-5.369707446033951,13.63601712781072,5.636017127810718,False,False
calibrated_gaussian,33,nominal_chance,True,False,True,False,16.929885810907557,5.944162043257518,6.191293372353201,12.217619471666605,4.217619471666605,False,False
calibrated_gaussian,33,robust_chance,False,False,False,True,16.929885810907557,5.944162043257518,6.191293372353201,12.217619471666605,4.217619471666605,False,False
calibrated_gaussian,34,nominal_chance,True,False,True,False,-9.253773506722554,-3.919188055628425,-2.74581571780333,11.671308378252245,3.6713083782522453,False,False
calibrated_gaussian,34,robust_chance,False,False,False,True,-9.253773506722554,-3.919188055628425,-2.74581571780333,11.671308378252245,3.6713083782522453,False,False
calibrated_gaussian,35,nominal_chance,True,False,True,False,6.761358418144003,0.38710302217544995,4.502224214044012,8.319746408199634,0.3197464081996348,False,False
calibrated_gaussian,35,robust_chance,False,False,False,True,6.761358418144003,0.38710302217544995,4.502224214044012,8.319746408199634,0.3197464081996348,False,False
calibrated_gaussian,36,nominal_chance,True,False,True,False,-2.6688253523211976,0.5094339701342738,-0.2180194893341874,12.459654933986297,4.459654933986297,False,False
calibrated_gaussian,36,robust_chance,False,False,False,True,-2.6688253523211976,0.5094339701342738,-0.2180194893341874,12.459654933986297,4.459654933986297,False,False
calibrated_gaussian,37,nominal_chance,True,False,True,False,2.533108006271593,1.095559785666398,0.8697139541513388,11.48688511264012,3.48688511264012,False,False
calibrated_gaussian,37,robust_chance,False,False,False,True,2.533108006271593,1.095559785666398,0.8697139541513388,11.48688511264012,3.48688511264012,False,False
calibrated_gaussian,38,nominal_chance,True,False,True,False,3.110343254773017,1.2375179255076354,0.9788771498356517,11.439035426331301,3.439035426331302,False,False
calibrated_gaussian,38,robust_chance,False,False,False,True,3.110343254773017,1.2375179255076354,0.9788771498356517,11.439035426331301,3.439035426331302,False,False
calibrated_gaussian,39,nominal_chance,True,False,True,False,2.9085382773189914,1.585817705519336,-0.341925722709781,12.56919801427797,4.569198014277969,False,False
